破产法解释草案初就 银行破产条例进展缓慢,2010  (06-29 01:29),http://bank.hexun.com/2010-06-29/124087497.html
农行A股“低调”询价 H股受追捧,2010  (06-29 01:26),http://bank.hexun.com/2010-06-29/124087479.html
农行定价“试金石”：A股变局来临,2010  (06-29 00:58),http://bank.hexun.com/2010-06-29/124087262.html
外资行未来三年增加50%员工 用人重评估与培养软实力,2010  (06-29 00:56),http://bank.hexun.com/2010-06-29/124087256.html
农行削减H股承销商佣金至1.5%,2010  (06-28 14:48),http://bank.hexun.com/2010-06-28/124084320.html
农行上市不是“祸” 银行股有望起跳,2010  (06-28 13:32),http://bank.hexun.com/2010-06-28/124083393.html
金融股独舞护盘还是作秀 大盘继续向下？,2010  (06-28 13:31),http://bank.hexun.com/2010-06-28/124083387.html
广发银行拟以每股4元转让707.67万股,2010  (06-28 13:19),http://bank.hexun.com/2010-06-28/124083248.html
银行股护盘无力 早盘A股市场振荡下跌,2010  (06-28 13:18),http://bank.hexun.com/2010-06-28/124083239.html
广发银行700万股超低价转让 市盈率仅1.75倍,2010  (06-28 09:44),http://bank.hexun.com/2010-06-28/124079759.html
农行初步询价结果明日揭晓 A股网上发行规模仅200多亿元,2010  (06-28 08:46),http://bank.hexun.com/2010-06-28/124078508.html
地产拖累银行股暴跌二成 农行上市成支点有望撬起银行股,2010  (06-28 08:43),http://bank.hexun.com/2010-06-28/124078470.html
银行房贷承压30%~40%备受指摘,2010  (06-28 08:00),http://bank.hexun.com/2010-06-28/124077495.html
房贷新政执行暧昧 银行称不舍“割肉”,2010  (06-28 07:59),http://bank.hexun.com/2010-06-28/124077429.html
工行：2万亿经营现金流无流动性风险之忧,2010  (06-28 07:58),http://bank.hexun.com/2010-06-28/124077396.html
股份制银行疯狂揽存：月底前存款承诺返现1‰,2010  (06-28 07:29),http://bank.hexun.com/2010-06-28/124076545.html
上海现离奇房贷案：300万房产被上海银行拍卖内幕,2010  (06-28 07:23),http://bank.hexun.com/2010-06-28/124076393.html
广州10楼盘绑定34家银行网点 指定行组成房贷优惠同盟,2010  (06-28 07:16),http://bank.hexun.com/2010-06-28/124076270.html
监管层设“五月红线” 严控银信产品规模,2010  (06-28 07:14),http://bank.hexun.com/2010-06-28/124076237.html
